transaction_id,member_id,merchant_id,amount,points_earned,transaction_date
TXN00001,MBR0001,M09,23.52,26,2024-01-22
TXN00002,MBR0001,M04,14.58,15,2024-11-09
TXN00003,MBR0001,M08,23.0,23,2024-04-12
TXN00004,MBR0002,M09,12.7,18,2024-05-29
TXN00005,MBR0002,M04,14.95,19,2024-05-28
TXN00006,MBR0002,M01,8.43,11,2024-06-01
TXN00007,MBR0003,M09,21.85,24,2024-06-18
TXN00008,MBR0003,M08,21.57,22,2024-09-19
TXN00009,MBR0003,M04,17.21,17,2024-02-29
TXN00010,MBR0004,M08,6.0,6,2024-03-28
TXN00011,MBR0004,M08,6.42,6,2024-04-20
TXN00012,MBR0005,M09,21.2,23,2024-02-13
TXN00013,MBR0005,M04,14.97,15,2024-05-04
TXN00014,MBR0006,M09,23.9,34,2024-10-06
TXN00015,MBR0006,M09,16.36,23,2024-12-20
TXN00016,MBR0006,M04,10.4,14,2024-04-06
TXN00017,MBR0007,M04,6.0,6,2024-11-26
TXN00018,MBR0007,M08,19.9,20,2024-02-16
TXN00019,MBR0008,M01,6.43,6,2024-07-19
TXN00020,MBR0009,M04,19.86,20,2024-10-04
TXN00021,MBR0010,M08,16.09,16,2024-04-22
TXN00022,MBR0010,M08,19.43,19,2024-08-17
TXN00023,MBR0010,M01,19.76,20,2024-02-21
TXN00024,MBR0011,M01,20.85,21,2024-06-29
TXN00025,MBR0012,M01,8.49,11,2024-09-05
TXN00026,MBR0013,M04,33.22,43,2024-03-03
TXN00027,MBR0013,M05,54.0,91,2024-04-19
TXN00028,MBR0013,M04,31.53,41,2024-12-04
TXN00029,MBR0013,M04,63.64,83,2024-12-28
TXN00030,MBR0014,M04,110.45,199,2024-01-24
TXN00031,MBR0014,M04,40.19,72,2024-01-31
TXN00032,MBR0014,M06,19.62,35,2024-04-10
TXN00033,MBR0015,M04,46.98,61,2024-04-07
TXN00034,MBR0015,M03,77.19,120,2024-12-15
TXN00035,MBR0015,M01,60.83,79,2024-05-01
TXN00036,MBR0015,M04,39.36,51,2024-07-18
TXN00037,MBR0016,M05,57.03,96,2024-04-25
TXN00038,MBR0016,M05,89.82,152,2024-02-09
TXN00039,MBR0017,M06,36.67,66,2024-10-08
TXN00040,MBR0017,M03,44.95,97,2024-04-27
TXN00041,MBR0017,M01,96.31,173,2024-02-09
TXN00042,MBR0017,M03,73.09,158,2024-08-12
TXN00043,MBR0018,M05,55.18,93,2024-12-18
TXN00044,MBR0018,M03,57.27,89,2024-04-26
TXN00045,MBR0018,M06,66.03,86,2024-03-15
TXN00046,MBR0018,M06,49.81,65,2024-12-14
TXN00047,MBR0019,M06,61.11,110,2024-06-08
TXN00048,MBR0019,M01,60.88,110,2024-12-20
TXN00049,MBR0020,M04,61.95,81,2024-03-22
TXN00050,MBR0020,M03,50.6,79,2024-11-23
TXN00051,MBR0020,M04,65.72,85,2024-02-12
TXN00052,MBR0020,M03,85.64,134,2024-07-08
TXN00053,MBR0021,M06,87.72,114,2024-04-06
TXN00054,MBR0021,M03,89.03,139,2024-01-02
TXN00055,MBR0021,M06,51.1,66,2024-12-08
TXN00056,MBR0022,M05,83.3,195,2024-05-14
TXN00057,MBR0022,M06,41.89,75,2024-08-07
TXN00058,MBR0023,M04,55.06,72,2024-10-11
TXN00059,MBR0023,M06,83.33,108,2024-04-27
TXN00060,MBR0023,M01,59.63,78,2024-12-21
TXN00061,MBR0023,M01,21.1,27,2024-07-01
TXN00062,MBR0024,M05,42.19,99,2024-04-18
TXN00063,MBR0024,M04,51.99,94,2024-07-04
TXN00064,MBR0024,M01,34.12,61,2024-12-05
TXN00065,MBR0024,M05,58.55,137,2024-09-11
TXN00066,MBR0025,M03,166.98,501,2024-02-15
TXN00067,MBR0025,M02,214.6,805,2024-07-26
TXN00068,MBR0025,M03,258.56,776,2024-12-05
TXN00069,MBR0025,M05,146.72,477,2024-01-30
TXN00070,MBR0026,M02,125.36,470,2024-07-01
TXN00071,MBR0026,M05,189.98,617,2024-01-10
TXN00072,MBR0026,M05,323.46,1051,2024-08-06
TXN00073,MBR0026,M03,288.23,865,2024-07-22
TXN00074,MBR0027,M03,152.51,458,2024-12-07
TXN00075,MBR0027,M03,202.36,607,2024-09-27
TXN00076,MBR0027,M05,144.9,471,2024-10-21
TXN00077,MBR0028,M02,176.05,660,2024-04-01
TXN00078,MBR0028,M07,155.88,779,2024-10-18
TXN00079,MBR0028,M05,136.77,445,2024-06-18
TXN00080,MBR0029,M03,302.11,653,2024-08-26
TXN00081,MBR0029,M03,114.19,247,2024-12-18
TXN00082,MBR0029,M07,286.03,1030,2024-11-13
TXN00083,MBR0030,M05,203.79,662,2024-12-17
TXN00084,MBR0030,M02,130.72,490,2024-02-08
TXN00085,MBR0030,M07,171.51,858,2024-11-18
TXN00086,MBR0030,M07,208.91,1045,2024-01-25
TXN00087,MBR0030,M07,164.31,822,2024-06-23
TXN00088,MBR0031,M05,197.77,463,2024-02-26
TXN00089,MBR0031,M02,154.46,417,2024-06-15
TXN00090,MBR0031,M03,240.7,520,2024-02-12
TXN00091,MBR0031,M05,193.55,453,2024-07-16
TXN00092,MBR0031,M07,187.92,677,2024-01-08
TXN00093,MBR0032,M05,179.65,584,2024-09-26
TXN00094,MBR0032,M02,300.12,1125,2024-11-16
TXN00095,MBR0032,M05,206.22,670,2024-10-17
TXN00096,MBR0032,M05,143.03,465,2024-11-07
